Category,ID,Latitude,Longitude,Date,DAYMET_Tile,DAYMET_003_prcp
endingPoint,02,42.7092,-71.6966,2017-10-11,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-12,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-13,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-14,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-15,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-16,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-17,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-18,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-19,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-20,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-21,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-22,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-23,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-24,11935,6.0
endingPoint,02,42.7092,-71.6966,2017-10-25,11935,58.0
endingPoint,02,42.7092,-71.6966,2017-10-26,11935,23.0
endingPoint,02,42.7092,-71.6966,2017-10-27,11935,28.0
endingPoint,02,42.7092,-71.6966,2017-10-28,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-29,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-30,11935,90.0
endingPoint,02,42.7092,-71.6966,2017-10-31,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-01,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-02,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-03,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-04,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-05,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-06,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-07,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-11-08,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-11-09,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-10,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-11-11,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-12,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-13,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-14,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-11-15,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-16,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-17,11935,9.0
endingPoint,02,42.7092,-71.6966,2017-11-18,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-19,11935,5.0
endingPoint,02,42.7092,-71.6966,2017-11-20,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-11-21,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-22,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-23,11935,8.0
